,pruned,acc1,acc5,loss
0,0,0.74,0.9056,32.739280104637146
1,32,0.7346,0.8889,98.88642930984497
2,64,0.7343,0.8879,99.01630735397339
3,96,0.7345,0.8876,104.37703800201416
4,128,0.7361,0.8857,114.07537174224854
5,160,0.7333,0.8797,214.11550521850586
6,192,0.735,0.8832,267.2214136123657
7,224,0.7339,0.8815,433.76287841796875
8,256,0.7308,0.8755,590.7309513092041
9,288,0.7315,0.8729,964.2703666687012
10,320,0.7282,0.8714,1545.035774230957
11,352,0.7209,0.8579,2519.8512954711914
12,384,0.7087,0.8447,6464.213562011719
13,416,0.6455,0.8062,36001.08630371094
14,448,0.3088,0.6495,139433816064.0
15,480,0.1616,0.4539,1.0041084871000433e+26
